album,artist,year,rating,genre,country,language,num_songs,runtime
Rock Doido,Gaby Amarantos,2025,2,Funk Brasileiro,Brazil,Portuguese,22,0 days 00:36:53
Let God Sort Em Out,"Pusha T, Malice",2025,2,"HipHop, Rap",USA,English,13,0 days 00:40:52
I Lay Down My Life For You,JPEGMAFIA,2024,3,"HipHop, Experimental",USA,English,14,0 days 00:41:24
Spectre,Blu Swing,2023,2,Jazz Pop,Japan,"Japanese, English",11,0 days 00:43:43
De Todas Las Flores,Natalia Lafourcade,2022,4,"Bolero, Mexican Folk",Mexico,Spanish,12,0 days 01:06:36
Hellfire,Black Midi,2022,3,Prog Rock,UK,English,10,0 days 00:38:58
YHLQMDLG,Bad Bunny,2020,3,Reggaetón,Puerto Rico,Spanish,20,0 days 01:05:48
Windswept Adan,Ichiko Aoba,2020,5,"Ambient, Folk",Japan,Japanese,14,0 days 00:50:02
MAGDALENE,FKA Twigs,2019,3,Art Pop,UK,English,9,0 days 00:38:48
Serotonin II,Yeule,2019,2,"Pop, SynthWave",Singapore,English,12,0 days 00:41:27
Die Lit,Playboi Carti,2018,4,"Trap, Hip Hop",USA,English,19,0 days 00:57:48
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Bruno Pernadas,2016,4,"Jazz, Art Pop",Portugal,English,10,0 days 00:53:03
Who Really Cares,TV Girl,2016,3,Indie Pop,USA,English,10,0 days 00:36:49
新しい日の誕生,2 8 1 4,2015,4,Ambient,Origin Unknown,No Language,8,0 days 01:07:25
To Pimp A Butterfly,Kendrick Lamar,2015,4,"Hip Hop, Jazz Rap",USA,English,16,0 days 01:18:51
Wlfgrl,Machine Girl,2014,4,"Breakbeat, Electronic",USA,English,13,0 days 00:43:28
Love & Sex,Plan B,2014,1,Reggaetón,Puerto Rico,Spanish,16,0 days 00:59:40
Bloom,Beach House,2012,4,"Dream Pop, Indie Pop",USA,English,10,0 days 01:00:11
Exmilitary,Death Grips,2011,4,"Hip Hop, Experimental",USA,English,13,0 days 00:48:44
Minecraft: Volume Alpha,C418,2011,4,Ambient,Germany,No Language,24,0 days 00:58:59
收斂水,Soft Lipa,2009,3,"Jazz Rap, Lo Fi",Taiwan,Mandarin,14,0 days 00:49:46
