album,name,length,rating
Rock Doido,Essa Noite Eu Vou Pro Rock,0 days 00:01:13,2
Rock Doido,Arrume-se Comigo,0 days 00:01:20,4
Rock Doido,Short Beira Cu,0 days 00:02:16,4
Rock Doido,Mamãe Mandou,0 days 00:01:28,3
Rock Doido,Te Amo Fudido,0 days 00:02:43,2
Rock Doido,Não Vou Chorar,0 days 00:02:25,1
Rock Doido,Interlúdio Égua Mana,0 days 00:00:36,-1
Rock Doido,Dá‑Lhe Sal,0 days 00:01:53,4
Rock Doido,Tumbalatum,0 days 00:02:24,3
Rock Doido,Viciada Em Seduzir,0 days 00:02:07,1
Rock Doido,Eu Tô Solteira,0 days 00:01:08,1
Rock Doido,Foguinho,0 days 00:01:22,1
Rock Doido,Abraço,0 days 00:01:37,2
Rock Doido,Interlúdio Rock Doido,0 days 00:00:30,-1
Rock Doido,Crina Negra,0 days 00:01:42,3
Rock Doido,BBBBBBB,0 days 00:01:52,3
Rock Doido,Cerveja Voadora,0 days 00:01:38,3
Rock Doido,Parararurau,0 days 00:01:39,2
Rock Doido,Bonito Feio,0 days 00:02:28,2
Rock Doido,Carregador De Aparelhagem,0 days 00:00:54,3
Rock Doido,Rock Doido É Meu Lugar,0 days 00:00:51,2
Rock Doido,Deixa,0 days 00:02:34,2
Let God Sort Em Out,The Birds Don't Sing,0 days 00:04:00,2
Let God Sort Em Out,Chains & Whips,0 days 00:04:03,3
Let God Sort Em Out,P.O.V.,0 days 00:04:18,3
Let God Sort Em Out,So Be It,0 days 00:03:14,4
Let God Sort Em Out,Ace Trumpets,0 days 00:02:34,3
Let God Sort Em Out,All Things Considered,0 days 00:03:09,4
Let God Sort Em Out,M.T.B.T.T.F.,0 days 00:02:36,3
Let God Sort Em Out,E.B.I.T.D.A.,0 days 00:01:59,4
Let God Sort Em Out,F.I.C.O.,0 days 00:03:21,2
Let God Sort Em Out,Inglorious Bastards,0 days 00:02:33,1
Let God Sort Em Out,So Far Ahead,0 days 00:03:22,2
Let God Sort Em Out,Let God Sort Em Out/ Chandeliers,0 days 00:02:32,2
Let God Sort Em Out,By the Grace of God,0 days 00:03:06,1
I Lay Down My Life For You,I Scream This In The Mirror Before I Interact With Anyone,0 days 00:01:48,1
I Lay Down My Life For You,Sin Miedo,0 days 00:02:46,3
I Lay Down My Life For You,I'll Be Right There,0 days 00:02:48,5
I Lay Down My Life For You,It's Dark And Hell Is Hot,0 days 00:02:30,4
I Lay Down My Life For You,New Black History,0 days 00:02:16,2
I Lay Down My Life For You,Don't Rely On Other Men,0 days 00:02:51,3
I Lay Down My Life For You,Vulgar Display Of Power,0 days 00:02:52,2
I Lay Down My Life For You,Exmilitary,0 days 00:05:01,3
I Lay Down My Life For You,Jihad Joe,0 days 00:02:14,1
I Lay Down My Life For You,Jpegultra!,0 days 00:04:51,3
I Lay Down My Life For You,Either On Or Off The Drugs,0 days 00:02:20,5
I Lay Down My Life For You,Loop It And Leave It,0 days 00:02:00,3
I Lay Down My Life For You,Don't Put Anything On The Bible,0 days 00:04:04,4
I Lay Down My Life For You,I Recovered From This,0 days 00:02:55,5
Spectre,We’ll Be Right Back,0 days 00:04:22,4
Spectre,Call Out,0 days 00:04:55,4
Spectre,シンプルラブ,0 days 00:03:30,3
Spectre,光の記憶,0 days 00:02:53,3
Spectre,Deja Vu,0 days 00:03:42,2
Spectre,Clap！,0 days 00:03:33,2
Spectre,Spectre,0 days 00:04:15,1
Spectre,シグレドキ,0 days 00:03:36,2
Spectre,クラゲ,0 days 00:03:41,4
Spectre,Blue Moon,0 days 00:04:16,5
Spectre,ラストシーン,0 days 00:05:00,3
De Todas Las Flores,Vine Solita,0 days 00:06:26,5
De Todas Las Flores,De Todas Las Flores,0 days 00:05:22,4
De Todas Las Flores,Pasan Los Días,0 days 00:06:43,3
De Todas Las Flores,Llévame Viento,0 days 00:06:25,3
De Todas Las Flores,El Lugar Correcto,0 days 00:03:51,5
De Todas Las Flores,Pajarito Colibrí,0 days 00:05:08,5
De Todas Las Flores,María La Curandera,0 days 00:06:13,5
De Todas Las Flores,Caminar Bonito,0 days 00:03:57,4
De Todas Las Flores,Mi Manera De Querer,0 days 00:03:53,3
De Todas Las Flores,Muerte,0 days 00:05:49,2
De Todas Las Flores,Canta La Arena,0 days 00:06:02,4
De Todas Las Flores,Que Te Vaya Bonito Nicolás,0 days 00:06:47,5
Hellfire,Hellfire,0 days 00:01:24,3
Hellfire,Sugar/Tzu,0 days 00:03:50,3
Hellfire,Eat Men Eat,0 days 00:03:08,2
Hellfire,Welcome To Hell,0 days 00:04:09,4
Hellfire,Still,0 days 00:05:46,3
Hellfire,Half Time,0 days 00:00:26,-1
Hellfire,The Race Is About To Begin,0 days 00:07:15,3
Hellfire,Dangerous Liaisons,0 days 00:04:14,3
Hellfire,The Defence,0 days 00:02:59,3
Hellfire,27 Questions,0 days 00:05:43,3
YHLQMDLG,Si Veo A Tu Mamá,0 days 00:02:51,5
YHLQMDLG,La Difícil,0 days 00:02:43,5
YHLQMDLG,Pero Ya No,0 days 00:02:41,2
YHLQMDLG,La Santa,0 days 00:03:26,4
YHLQMDLG,Yo Perreo Sola,0 days 00:02:52,3
YHLQMDLG,Bichiyal,0 days 00:03:17,4
YHLQMDLG,Soliá,0 days 00:02:39,1
YHLQMDLG,La Zona,0 days 00:02:17,4
YHLQMDLG,Que Malo,0 days 00:02:48,4
YHLQMDLG,Vete,0 days 00:03:12,2
YHLQMDLG,Ignorantes,0 days 00:03:31,1
YHLQMDLG,A Tu Merced,0 days 00:02:56,4
YHLQMDLG,Una Vez,0 days 00:03:52,1
YHLQMDLG,Safaera,0 days 00:04:55,5
YHLQMDLG,25/8,0 days 00:04:03,2
YHLQMDLG,Está Cabrón Ser Yo,0 days 00:03:48,2
YHLQMDLG,Puesto Pa' Guerrial,0 days 00:03:10,1
YHLQMDLG,P FKN R,0 days 00:04:18,1
YHLQMDLG,Hablamos Mañana,0 days 00:04:00,2
YHLQMDLG,<3,0 days 00:02:38,3
Windswept Adan,Prologue,0 days 00:04:55,4
Windswept Adan,Pilgrimage,0 days 00:03:48,5
Windswept Adan,Porcelain,0 days 00:04:29,4
Windswept Adan,Horo,0 days 00:01:58,4
Windswept Adan,Easter Lily,0 days 00:03:16,5
Windswept Adan,Parfum d'étoiles,0 days 00:02:52,5
Windswept Adan,Kirinaki Shima,0 days 00:01:27,4
Windswept Adan,Sagu Palm's Song,0 days 00:03:57,5
Windswept Adan,Chinuhaji,0 days 00:01:52,4
Windswept Adan,Chi no Kaze,0 days 00:03:47,5
Windswept Adan,Hagupit,0 days 00:02:58,4
Windswept Adan,Dawn In The Adan,0 days 00:04:45,5
Windswept Adan,Ohayashi,0 days 00:03:44,4
Windswept Adan,Luminescent Creatures,0 days 00:06:07,5
MAGDALENE,Thousand Eyes,0 days 00:05:00,5
MAGDALENE,Home With You,0 days 00:03:44,3
MAGDALENE,Sad Day,0 days 00:04:15,2
MAGDALENE,Holy Terrain,0 days 00:04:03,2
MAGDALENE,Mary Magdalene,0 days 00:05:21,3
MAGDALENE,Fallen Alien,0 days 00:03:58,3
MAGDALENE,Mirrored Heart,0 days 00:04:32,4
MAGDALENE,Daybed,0 days 00:04:31,3
MAGDALENE,Cellophane,0 days 00:03:24,5
Serotonin II,Your Shadow,0 days 00:01:18,2
Serotonin II,Poison Arrow,0 days 00:04:20,3
Serotonin II,Eva,0 days 00:03:35,3
Serotonin II,See You Space Cowboy,0 days 00:01:15,-1
Serotonin II,Pixel Affection,0 days 00:03:39,3
Serotonin II,Nuclear War Post IV,0 days 00:00:50,-1
Serotonin II,Pocky Boy,0 days 00:04:01,2
Serotonin II,Pretty Bones,0 days 00:04:33,3
Serotonin II,Reverie,0 days 00:04:44,2
Serotonin II,Blue Butterfly,0 days 00:03:53,2
Serotonin II,An Angel Held Me Like A Child,0 days 00:04:22,3
Serotonin II,Veil of Darkness,0 days 00:04:54,1
Die Lit,Long Time (Intro),0 days 00:03:32,5
Die Lit,R.I.P.,0 days 00:03:12,5
Die Lit,Lean 4 Real,0 days 00:02:57,4
Die Lit,Old Money,0 days 00:02:16,3
Die Lit,Love Hurts,0 days 00:03:01,1
Die Lit,Shoota,0 days 00:02:34,2
Die Lit,Right Now,0 days 00:03:27,3
Die Lit,Poke It Out,0 days 00:04:30,4
Die Lit,Home (KOD),0 days 00:02:42,3
Die Lit,Fell in Luv,0 days 00:03:26,4
Die Lit,Foreign,0 days 00:02:23,5
Die Lit,Pull Up,0 days 00:03:36,2
Die Lit,Mileage,0 days 00:02:30,3
Die Lit,FlatBed Freestyle,0 days 00:03:14,5
Die Lit,No Time,0 days 00:03:39,3
Die Lit,Middle of the Summer,0 days 00:02:17,2
Die Lit,Choppa Won't Miss,0 days 00:03:38,3
Die Lit,R.I.P. Fredo (Notice Me),0 days 00:02:41,4
Die Lit,Top,0 days 00:02:13,3
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Poem (1),0 days 00:00:27,-1
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Spaceway 70,0 days 00:07:19,4
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Problem Number 6,0 days 00:04:37,5
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Valley In The Ocean,0 days 00:06:45,5
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Anywhere In Spacetime,0 days 00:07:00,4
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Poem (2),0 days 00:00:25,-1
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Because It's Hard To Develop That Capacity On Your Own,0 days 00:02:04,3
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Galaxy,0 days 00:08:42,5
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Ya Ya Breathe,0 days 00:13:03,4
Those Who Throw Objects At The Crocodiles Will Be Asked To Retrieve Them,Lachrymose,0 days 00:03:06,4
Who Really Cares,Taking What's Not Yours,0 days 00:03:25,3
Who Really Cares,Song About Me,0 days 00:04:03,4
Who Really Cares,Cigarettes Out The Window,0 days 00:03:18,2
Who Really Cares,Till You Tell Me To Leave,0 days 00:03:18,3
Who Really Cares,Not Allowed,0 days 00:02:47,5
Who Really Cares,(Do The) Act Like You Never Met Me,0 days 00:04:14,5
Who Really Cares,Safe Word,0 days 00:03:36,3
Who Really Cares,For You,0 days 00:03:35,3
Who Really Cares,Loving Machine,0 days 00:03:47,5
Who Really Cares,Heaven Is A Bedroom,0 days 00:04:38,2
新しい日の誕生,恢复,0 days 00:05:51,4
新しい日の誕生,遠くの愛好家,0 days 00:06:18,5
新しい日の誕生,新宿ゴールデン街,0 days 00:08:51,4
新しい日の誕生,ふわっと,0 days 00:06:36,5
新しい日の誕生,悲哀,0 days 00:09:23,5
新しい日の誕生,真実の恋,0 days 00:07:12,4
新しい日の誕生,テレパシー,0 days 00:10:08,4
新しい日の誕生,新しい日の誕生,0 days 00:13:04,4
To Pimp A Butterfly,Wesley's Theory,0 days 00:04:47,3
To Pimp A Butterfly,For Free? (Interlude),0 days 00:02:10,3
To Pimp A Butterfly,King Kunta,0 days 00:03:54,4
To Pimp A Butterfly,Institutionalized,0 days 00:04:31,3
To Pimp A Butterfly,These Walls,0 days 00:05:00,5
To Pimp A Butterfly,U,0 days 00:04:28,5
To Pimp A Butterfly,Alright,0 days 00:03:39,5
To Pimp A Butterfly,For Sale? (Interlude),0 days 00:04:51,3
To Pimp A Butterfly,Momma,0 days 00:04:43,5
To Pimp A Butterfly,Hood Politics,0 days 00:04:52,3
To Pimp A Butterfly,How Much A Dollar Cost,0 days 00:04:21,4
To Pimp A Butterfly,Complexion (A Zulu Love),0 days 00:04:23,2
To Pimp A Butterfly,The Blacker The Berry,0 days 00:05:28,5
To Pimp A Butterfly,You Ain't Gotta Lie (Momma Said),0 days 00:04:01,2
To Pimp A Butterfly,I,0 days 00:05:36,1
To Pimp A Butterfly,Mortal Man,0 days 00:12:07,5
Wlfgrl,Mg1,0 days 00:00:46,4
Wlfgrl,Ionic Funk (20XXX Battle Music),0 days 00:04:34,3
Wlfgrl,Krystle,0 days 00:03:36,4
Wlfgrl,Ginger Claps,0 days 00:03:04,3
Wlfgrl,Ghost,0 days 00:03:05,4
Wlfgrl,Frenesi,0 days 00:02:06,5
Wlfgrl,"Out By 16, Dead on the Scene",0 days 00:02:30,3
Wlfgrl,Post Rave Maximalist,0 days 00:02:28,3
Wlfgrl,Phase Alpha,0 days 00:01:31,2
Wlfgrl,Freewill,0 days 00:05:04,4
Wlfgrl,Excruciating Deth,0 days 00:04:53,5
Wlfgrl,Hidden Power,0 days 00:08:39,5
Wlfgrl,Mg2,0 days 00:01:06,3
Love & Sex,Fronteo,0 days 00:03:23,2
Love & Sex,Choca,0 days 00:03:40,3
Love & Sex,Pa'l Piso,0 days 00:04:05,1
Love & Sex,Fanática Sensual,0 days 00:04:00,4
Love & Sex,El Matadero,0 days 00:03:54,2
Love & Sex,No Quiero Que Te Vayas,0 days 00:03:46,2
Love & Sex,Mi Vecinita,0 days 00:03:02,3
Love & Sex,Juegas Con Mi Mente,0 days 00:03:17,2
Love & Sex,Donde Los Consigo?,0 days 00:04:24,1
Love & Sex,Soy Y Seré,0 days 00:03:35,1
Love & Sex,Coquetea,0 days 00:02:46,4
Love & Sex,Zapatito Roto,0 days 00:03:48,3
Love & Sex,Dame Una Noche,0 days 00:04:13,1
Love & Sex,Candy,0 days 00:03:27,5
Love & Sex,Satiro,0 days 00:04:08,2
Love & Sex,Love And Sex,0 days 00:04:03,1
Bloom,Myth,0 days 00:04:19,5
Bloom,Wild,0 days 00:04:58,4
Bloom,Lazuli,0 days 00:05:02,5
Bloom,Other People,0 days 00:04:25,3
Bloom,The Hours,0 days 00:04:12,3
Bloom,Troublemaker,0 days 00:04:56,5
Bloom,New Year,0 days 00:05:26,4
Bloom,Wishes,0 days 00:04:47,5
Bloom,On The Sea,0 days 00:05:32,5
Bloom,Irene,0 days 00:16:57,3
Exmilitary,Beware,0 days 00:05:52,3
Exmilitary,Guillotine,0 days 00:03:43,5
Exmilitary,Spread Eagle Cross The Block,0 days 00:03:51,4
Exmilitary,Lord Of The Game,0 days 00:03:30,3
